field_name,purpose,inputs,exact_derivation,allowed_values,field_version,owner,observed_dtype,observed_unique_count,observed_missing_count,notes
log1p_loss,Exploratory view of target distribution,loss,numpy.log1p(loss) = ln(1 + loss),finite values > 0 for this positive-loss source,1.0.0,Liam,float64,158223,0,Exploratory only; original loss remains the reporting and MAE scale.
cont1_quantile_bin,Quantile-bin support and target pattern analysis,cont1,"pd.qcut(cont1, q=10, labels=False, duplicates='drop'); label code + 1; constant field -> B1",integer bin labels 1..10,1.0.0,Liam,int64,10,0,"right-closed bins, lowest included; exact edges: [1.6e-05, 0.282512, 0.325401, 0.372785, 0.45271, 0.475784, 0.501862, 0.555279, 0.642763, 0.772995, 0.984975]"
cont2_quantile_bin,Quantile-bin support and target pattern analysis,cont2,"pd.qcut(cont2, q=10, labels=False, duplicates='drop'); label code + 1; constant field -> B1",integer bin labels 1..9,1.0.0,Liam,int64,9,0,"right-closed bins, lowest included; exact edges: [0.001149, 0.199504, 0.299102, 0.358319, 0.488789, 0.555782, 0.620805, 0.737068, 0.785784, 0.862654]"
cont3_quantile_bin,Quantile-bin support and target pattern analysis,cont3,"pd.qcut(cont3, q=10, labels=False, duplicates='drop'); label code + 1; constant field -> B1",integer bin labels 1..10,1.0.0,Liam,int64,10,0,"right-closed bins, lowest included; exact edges: [0.002634, 0.215772, 0.280933, 0.397983, 0.484196, 0.527991, 0.54977, 0.61366, 0.673861, 0.745801, 0.944251]"
cont4_quantile_bin,Quantile-bin support and target pattern analysis,cont4,"pd.qcut(cont4, q=10, labels=False, duplicates='drop'); label code + 1; constant field -> B1",integer bin labels 1..10,1.0.0,Liam,int64,10,0,"right-closed bins, lowest included; exact edges: [0.176921, 0.229617, 0.284048, 0.345595, 0.393132, 0.452887, 0.50382, 0.614134, 0.722125, 0.815505, 0.954297]"
cont5_quantile_bin,Quantile-bin support and target pattern analysis,cont5,"pd.qcut(cont5, q=10, labels=False, duplicates='drop'); label code + 1; constant field -> B1",integer bin labels 1..8,1.0.0,Liam,int64,8,0,"right-closed bins, lowest included; exact edges: [0.281143, 0.295397, 0.372405, 0.422268, 0.499798, 0.585792, 0.718531, 0.82168, 0.983674]"
cont6_quantile_bin,Quantile-bin support and target pattern analysis,cont6,"pd.qcut(cont6, q=10, labels=False, duplicates='drop'); label code + 1; constant field -> B1",integer bin labels 1..10,1.0.0,Liam,int64,10,0,"right-closed bins, lowest included; exact edges: [0.012683, 0.240069, 0.314937, 0.357412, 0.393798, 0.440945, 0.516224, 0.603785, 0.690467, 0.808958, 0.997162]"
cont7_quantile_bin,Quantile-bin support and target pattern analysis,cont7,"pd.qcut(cont7, q=10, labels=False, duplicates='drop'); label code + 1; constant field -> B1",integer bin labels 1..10,1.0.0,Liam,int64,10,0,"right-closed bins, lowest included; exact edges: [0.069503, 0.289543, 0.33616, 0.364911, 0.401162, 0.438285, 0.492874, 0.557638, 0.635029, 0.749925, 1.0]"
cont8_quantile_bin,Quantile-bin support and target pattern analysis,cont8,"pd.qcut(cont8, q=10, labels=False, duplicates='drop'); label code + 1; constant field -> B1",integer bin labels 1..10,1.0.0,Liam,int64,10,0,"right-closed bins, lowest included; exact edges: [0.23688, 0.26847, 0.29758, 0.33906, 0.36083, 0.44106, 0.5245, 0.58354, 0.67263, 0.79284, 0.9802]"
cont9_quantile_bin,Quantile-bin support and target pattern analysis,cont9,"pd.qcut(cont9, q=10, labels=False, duplicates='drop'); label code + 1; constant field -> B1",integer bin labels 1..10,1.0.0,Liam,int64,10,0,"right-closed bins, lowest included; exact edges: [8e-05, 0.30859, 0.33611, 0.38249, 0.40252, 0.44145, 0.46853, 0.521, 0.62542, 0.79047, 0.9954]"
cont10_quantile_bin,Quantile-bin support and target pattern analysis,cont10,"pd.qcut(cont10, q=10, labels=False, duplicates='drop'); label code + 1; constant field -> B1",integer bin labels 1..10,1.0.0,Liam,int64,10,0,"right-closed bins, lowest included; exact edges: [0.0, 0.26029, 0.32446, 0.38016, 0.43919, 0.46119, 0.51111, 0.58257, 0.6994, 0.79863, 0.99498]"
cont11_quantile_bin,Quantile-bin support and target pattern analysis,cont11,"pd.qcut(cont11, q=10, labels=False, duplicates='drop'); label code + 1; constant field -> B1",integer bin labels 1..10,1.0.0,Liam,int64,10,0,"right-closed bins, lowest included; exact edges: [0.035321, 0.231253, 0.291268, 0.341813, 0.3925, 0.457203, 0.550529, 0.625936, 0.708732, 0.797841, 0.998742]"
cont12_quantile_bin,Quantile-bin support and target pattern analysis,cont12,"pd.qcut(cont12, q=10, labels=False, duplicates='drop'); label code + 1; constant field -> B1",integer bin labels 1..10,1.0.0,Liam,int64,10,0,"right-closed bins, lowest included; exact edges: [0.036232, 0.236124, 0.292356, 0.335036, 0.387819, 0.462286, 0.55738, 0.630853, 0.698722, 0.785706, 0.998484]"
cont13_quantile_bin,Quantile-bin support and target pattern analysis,cont13,"pd.qcut(cont13, q=10, labels=False, duplicates='drop'); label code + 1; constant field -> B1",integer bin labels 1..10,1.0.0,Liam,int64,10,0,"right-closed bins, lowest included; exact edges: [0.000228, 0.276878, 0.30435, 0.321548, 0.339244, 0.363547, 0.598688, 0.660756, 0.717751, 0.810511, 0.988494]"
cont14_quantile_bin,Quantile-bin support and target pattern analysis,cont14,"pd.qcut(cont14, q=10, labels=False, duplicates='drop'); label code + 1; constant field -> B1",integer bin labels 1..10,1.0.0,Liam,int64,10,0,"right-closed bins, lowest included; exact edges: [0.179722, 0.232823, 0.276753, 0.308979, 0.37046, 0.407403, 0.599002, 0.708743, 0.746103, 0.811105, 0.844848]"
